,subj,block_num,block_name,targTheta,n_probes,probeTheta_loc,targOrNoTarg,acc,pm_acc,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word0_cond,word1_cond,word2_cond,word3_cond,word4_cond,word5_cond,word6_cond,word7_cond,word8_cond,word9_cond,word10_cond,word11_cond,word12_cond,word13_cond,word14_cond,topTheta1,topTheta2,topTheta3,topTheta4,topTheta5,topTheta6,topTheta7,topTheta8,topTheta9,topTheta10,topTheta11,topTheta12,topTheta13,topTheta14,topTheta15,botTheta1,botTheta2,botTheta3,botTheta4,botTheta5,botTheta6,botTheta7,botTheta8,botTheta9,botTheta10,botTheta11,botTheta12,botTheta13,botTheta14,botTheta15,topTheta0,botTheta0,respProbe0,rtProbe0,probe0_acc,respProbe1,rtProbe1,probe1_acc,respProbe2,rtProbe2,probe2_acc,respProbe3,rtProbe3,probe3_acc,respProbe4,rtProbe4,probe4_acc,respProbe5,rtProbe5,probe5_acc,respProbe6,rtProbe6,probe6_acc,respProbe7,rtProbe7,probe7_acc,respProbe8,rtProbe8,probe8_acc,respProbe9,rtProbe9,probe9_acc,respProbe10,rtProbe10,probe10_acc,respProbe11,rtProbe11,probe11_acc,respProbe12,rtProbe12,probe12_acc,respProbe13,rtProbe13,probe13_acc,respProbe14,rtProbe14,probe14_acc
0,994,1,base1,"(8, 7)",1,top,,,,youth,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,994,1,base1,"(4, 10)",1,top,,,,poc,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,994,1,base1,"(20, 19)",1,top,,,,year,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,994,1,base1,"(4, 1)",1,bot,,,,jole,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,994,1,base1,"(19, 13)",1,bot,,,,yard,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,994,1,base1,"(6, 20)",1,bot,,,,whab,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,994,1,base1,"(14, 12)",1,top,,,,vrot,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,994,1,base1,"(6, 10)",1,top,,,,gake,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,994,1,base1,"(7, 4)",1,bot,,,,wrote,,,,,,,,,,,,,,,word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,994,1,base1,"(2, 1)",1,top,,,,torf,,,,,,,,,,,,,,,nonword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
