,subj,block,targTheta,n_probes,probeTheta_loc,targOrNoTarg,acc,word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word0_cond,word1_cond,word2_cond,word3_cond,word4_cond,word5_cond,word6_cond,word7_cond,word8_cond,word9_cond,word10_cond,word11_cond,word12_cond,word13_cond,word14_cond,topTheta1,topTheta2,topTheta3,topTheta4,topTheta5,topTheta6,topTheta7,topTheta8,topTheta9,topTheta10,topTheta11,topTheta12,topTheta13,topTheta14,topTheta15,botTheta1,botTheta2,botTheta3,botTheta4,botTheta5,botTheta6,botTheta7,botTheta8,botTheta9,botTheta10,botTheta11,botTheta12,botTheta13,botTheta14,botTheta15,topTheta0,botTheta0,respProbe0,rtProbe0,probe0_acc,respProbe1,rtProbe1,probe1_acc,respProbe2,rtProbe2,probe2_acc,respProbe3,rtProbe3,probe3_acc,respProbe4,rtProbe4,probe4_acc,respProbe5,rtProbe5,probe5_acc,respProbe6,rtProbe6,probe6_acc,respProbe7,rtProbe7,probe7_acc,respProbe8,rtProbe8,probe8_acc,respProbe9,rtProbe9,probe9_acc,respProbe10,rtProbe10,probe10_acc,respProbe11,rtProbe11,probe11_acc,respProbe12,rtProbe12,probe12_acc,respProbe13,rtProbe13,probe13_acc,respProbe14,rtProbe14,probe14_acc
204,s999,6,50,12,top,,,twand,rebe,frirks,real,float,voke,raid,left,ife,zem,voice,mibe,,,,nonword,nonword,nonword,word,word,nonword,word,word,nonword,nonword,word,nonword,,,,110,40,160,80,160,150,140,150,40,10,50,,,,,70,140,20,100,160,10,70,10,20,110,160,,,,,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,s999,6,70,2,top,,,wear,mine,,,,,,,,,,,,,,word,word,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,40.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,s999,7,120,8,bot,,,blonde,miss,vot,gume,warl,job,kips,jup,,,,,,,,word,word,nonword,nonword,nonword,word,nonword,nonword,,,,,,,,70,110,70,70,140,10,140,,,,,,,,,110,40,100,30,30,160,120,,,,,,,,,10.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,s999,7,20,14,top,,,bef,prot,wrike,krone,glipe,snow,oil,bomn,trace,ate,cang,doof,fob,holf,,nonword,nonword,nonword,nonword,nonword,word,word,nonword,word,word,nonword,nonword,nonword,nonword,,170,160,60,70,100,10,70,140,120,140,10,30,20,,,170,70,30,100,40,10,80,140,130,40,80,160,100,,,10.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,s999,7,140,11,bot,,,fast,fore,new,raw,crongs,hate,lead,rock,stair,limt,three,,,,,word,word,word,word,nonword,word,word,word,word,nonword,word,,,,,130,20,40,160,70,10,50,130,40,110,,,,,,100,160,120,70,150,170,100,120,150,140,,,,,,50.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,s999,7,170,14,top,,,sab,tutt,brop,drail,claim,plunge,bab,bar,smack,bang,straight,brief,tea,snub,,nonword,nonword,nonword,nonword,word,word,nonword,word,word,word,word,word,word,word,,160,70,130,30,40,40,140,110,120,30,70,120,170,,,100,100,140,50,150,160,70,100,30,100,50,20,80,,,150.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,s999,7,110,8,bot,,,tipe,soft,branch,fraf,suede,thuf,mind,glake,,,,,,,,nonword,word,word,nonword,word,nonword,word,nonword,,,,,,,,50,60,120,60,170,50,140,,,,,,,,,30,40,60,30,130,80,110,,,,,,,,,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,s999,7,30,13,top,,,verse,scheme,pirt,grip,men,geef,zid,grile,vime,fault,length,once,tarsh,,,word,word,nonword,word,word,nonword,nonword,nonword,nonword,word,word,word,nonword,,,150,170,160,20,160,50,80,120,150,100,160,30,,,,120,10,170,100,170,100,40,170,20,80,140,110,,,,70.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,s999,7,110,9,top,,,larn,street,plug,wire,pef,cue,deep,bank,rale,,,,,,,nonword,word,word,word,nonword,word,word,word,nonword,,,,,,,70,50,30,140,80,100,20,110,,,,,,,,70,70,10,40,150,150,130,170,,,,,,,,140.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,s999,7,80,15,bot,,,wome,count,guide,make,craf,break,sleigh,zive,wez,bape,sleep,preiled,cook,whuke,creen,nonword,word,word,word,nonword,word,word,nonword,nonword,nonword,word,nonword,word,nonword,nonword,160,50,20,60,140,150,110,120,50,170,70,50,170,170,,50,20,170,20,10,70,110,30,70,70,20,50,60,80,,130.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
