block,blockType,meanTrial_rt,og_acc,pm_acc,pm_cost,subj
"('monitor2', 6)",Monitor,0.949664831161499,0.9090909090909092,1.0,0.26385815106137256,s01
"('monitor2', 6)",Monitor,0.6144497394561768,0.9333333333333332,0.0,-0.0713569406439497,s01
"('monitor2', 6)",Monitor,0.6605594158172607,1.0,1.0,-0.02524726428286572,s01
"('monitor2', 6)",Monitor,0.7544739842414856,1.0,1.0,0.06866730414135913,s01
"('monitor2', 6)",Monitor,0.6909923553466797,0.9230769230769232,1.0,0.005185675246553223,s01
"('monitor2', 6)",Monitor,0.7255838257925851,0.7777777777777778,0.0,0.039777145692458604,s01
"('monitor2', 6)",Monitor,0.8049795844338157,1.0,1.0,0.1191729043336892,s01
"('monitor2', 6)",Monitor,0.7447971403598785,0.8,1.0,0.058990460259752076,s01
"('mnm1', 4)",MnM,0.9862720966339112,0.7,0.0,0.3004654165337847,s01
"('mnm1', 4)",MnM,1.009719235556466,0.7777777777777778,0.0,0.3239125554563397,s01
"('mnm1', 4)",MnM,0.8428819179534912,0.3333333333333333,0.0,0.15707523785336475,s01
"('mnm1', 4)",MnM,1.124157925446828,1.0,1.0,0.4383512453467017,s01
"('mnm1', 4)",MnM,0.7939806381861368,0.8571428571428571,1.0,0.10817395808601038,s01
"('mnm1', 4)",MnM,0.9973647832870484,0.9090909090909092,1.0,0.3115581031869219,s01
"('mnm1', 4)",MnM,1.2071486314137776,1.0,1.0,0.5213419513136511,s01
"('mnm1', 4)",MnM,1.2268993457158406,0.75,0.0,0.5410926656157141,s01
"('mnm1', 4)",MnM,0.8694145679473877,0.6666666666666666,0.0,0.18360788784726126,s01
"('mnm1', 4)",MnM,1.134760816891988,0.75,0.0,0.4489541367918616,s01
"('mnm1', 4)",MnM,1.3110624876889316,0.7857142857142857,0.0,0.6252558075888052,s01
"('mnm1', 4)",MnM,1.078906226158142,1.0,1.0,0.3930995460580157,s01
"('mnm1', 4)",MnM,1.1061942875385284,0.7272727272727273,1.0,0.42038760743840203,s01
"('mnm1', 4)",MnM,0.8949952342293479,0.7857142857142857,1.0,0.20918855412922144,s01
"('mnm1', 4)",MnM,1.1118751005692915,0.8461538461538461,1.0,0.42606842046916493,s01
"('mnm1', 4)",MnM,1.2322978973388672,1.0,1.0,0.5464912172387407,s01
"('mnm1', 4)",MnM,0.7873663663864136,0.7692307692307693,0.0,0.10155968628628707,s01
"('mnm1', 4)",MnM,0.9514692379878118,0.9333333333333332,1.0,0.2656625578876853,s01
"('mnm1', 4)",MnM,1.0608385006586711,1.0,1.0,0.3750318205585447,s01
"('mnm1', 4)",MnM,1.0008386135101321,1.0,1.0,0.31503193341000546,s01
"('mnm2', 7)",MnM,1.0045998746698552,0.7857142857142857,0.0,0.3187931945697288,s01
"('mnm2', 7)",MnM,1.1456361346774628,0.7142857142857143,1.0,0.4598294545773366,s01
"('mnm2', 7)",MnM,0.8349106992994036,0.875,0.0,0.14910401919927718,s01
"('mnm2', 7)",MnM,1.0800160765647888,0.8571428571428571,0.0,0.3942093964646624,s01
"('mnm2', 7)",MnM,1.2042213848658971,0.7777777777777778,1.0,0.5184147047657707,s01
"('mnm2', 7)",MnM,0.96164470911026,1.0,1.0,0.27583802901013355,s01
"('mnm2', 7)",MnM,0.9745664596557616,0.9166666666666666,1.0,0.28875977955563525,s01
"('mnm2', 7)",MnM,0.8839338090684679,0.9,0.0,0.1981271289683414,s01
"('mnm2', 7)",MnM,0.8802469306521945,0.9,0.0,0.19444025055206804,s01
"('mnm2', 7)",MnM,0.8374793052673339,1.0,1.0,0.15167262516720748,s01
"('mnm2', 7)",MnM,1.317628557031805,0.8461538461538461,0.0,0.6318218769316785,s01
"('mnm2', 7)",MnM,0.8112583637237549,0.9090909090909092,1.0,0.12545168362362846,s01
"('mnm2', 7)",MnM,1.1602514130728585,0.875,1.0,0.474444732972732,s01
"('mnm2', 7)",MnM,0.9294793055607722,0.9285714285714286,1.0,0.2436726254606457,s01
"('mnm2', 7)",MnM,,0.0,0.0,,s01
"('mnm2', 7)",MnM,1.067357063293457,0.5,0.0,0.38155038319333057,s01
"('mnm2', 7)",MnM,0.8095873269167814,0.8461538461538461,0.0,0.1237806468166549,s01
"('mnm2', 7)",MnM,1.078145337104797,0.9090909090909092,1.0,0.3923386570046709,s01
"('mnm2', 7)",MnM,1.0751615437594326,0.9166666666666666,1.0,0.38935486365930616,s01
"('mnm2', 7)",MnM,0.8097382954188755,0.7777777777777778,1.0,0.12393161531874908,s01
