subj,blockType,meanTrial_rt,og_acc,pm_acc,pm_cost,pm_probe_rt
s10,MnM,0.8977649270975615,0.7962247474747475,0.475,0.14572938874205202,0.9485035798488519
s10,Monitor,0.863073793495406,0.8525794344544344,0.65,0.11103825513989647,0.7976608216762543
s11,Baseline,0.7698914014376127,0.9330143540669856,0.9241706161137441,,
s11,Maintain,0.7827238794758944,0.9501934176934176,0.95,0.012832478038281763,1.2479592897953131
s11,MnM,1.0504858094553071,0.8222993672993673,0.725,0.2805944080176944,1.0841344356536866
s11,Monitor,0.9240964540134354,0.9345004995004995,0.875,0.15420505257582254,0.8614793419837952
s12,Baseline,0.7627567690771979,0.8894230769230769,0.8767772511848341,,
s12,Maintain,0.9081009121384357,0.8515899378399379,0.0,0.1453441430612375,1.1765539646148682
s12,MnM,0.8156201437685573,0.6570916263223955,0.0,0.05286337469135954,0.9176404025103595
s12,Monitor,0.9602527305576528,0.6836353230103231,0.0,0.19749596148045517,0.8932171418116643
s13,Baseline,0.7118804738073066,0.957345971563981,0.957345971563981,,
s13,Maintain,0.7685501408909832,0.8539491064491067,0.575,0.05666966708367641,1.3691652207761198
s13,MnM,1.0471584563005087,0.8216523754023755,0.525,0.3352779824932022,1.0348516047000884
s13,Monitor,0.9199709521657462,0.934955808080808,0.875,0.20809047835843972,0.8541497647762298
s14,Baseline,0.5590448115938272,0.943127962085308,0.943127962085308,,
s14,Maintain,0.5995406936604863,0.9322637778887779,0.85,0.04049588206665914,1.086616998910904
s14,MnM,0.8452559066136496,0.8903583916083916,0.675,0.28621109501982245,0.9232899069786071
s14,Monitor,0.6969948830114784,0.9084046509046508,0.75,0.13795007141765112,0.7749115347862243
s15,Baseline,0.6804689215224924,0.976303317535545,0.976303317535545,,
s15,Maintain,0.7003997515647064,0.9073224073224074,0.275,0.019930830042214086,1.5224553214179144
s15,MnM,1.1139101614435547,0.8817079448329448,0.675,0.4334412399210623,1.211036299404345
s15,Monitor,0.8390919517344866,0.9043294205794206,0.9,0.15862303021199417,0.8582845687866211
s16,Baseline,0.728221220335937,0.9620853080568721,0.9620853080568721,,
s16,Maintain,0.8707591394639621,0.9613372044622043,0.9,0.14253791912802516,1.3762658480051402
s16,MnM,1.2653808928305241,0.8344950882450884,0.675,0.5371596724945876,1.2414873659610748
s16,Monitor,0.9055264298385466,0.9196357115107114,0.875,0.17730520950260967,0.9282184720039368
s17,Baseline,0.9017981805053412,0.966824644549763,0.966824644549763,,
s17,Maintain,0.9623092207182455,0.8889235408466177,0.8,0.06051104021290462,1.3875325918197632
s17,MnM,1.2592462507870226,0.792731573981574,0.45,0.3574480702816812,1.3045612359658265
s17,Monitor,1.0230165131052507,0.8666724941724944,0.8,0.12121833259990951,0.8837507247924805
s19,Baseline,0.696824551890136,0.9174757281553398,0.8957345971563981,,
s19,Maintain,0.6726521416076289,0.939431956931957,0.7,-0.024172410282507266,1.3955997748252673
s19,MnM,0.9001807303493989,0.687702709476903,0.15,0.2033561784592628,0.944556325674057
s19,Monitor,0.8269438499941925,0.8035549866799865,0.425,0.13011929810405612,0.8131714180896157
s20,Baseline,0.7206296188075368,0.9715639810426541,0.9715639810426541,,
s20,Maintain,0.8083917890115003,0.9120624514374516,0.725,0.0877621702039635,1.2354913724435341
s20,MnM,1.0100144823542707,0.8567091935841935,0.5,0.28938486354673376,1.1039418280124664
s20,Monitor,0.8676569232489053,0.9220969308469307,0.775,0.14702730444136863,0.9097369389656262
s21,Baseline,0.805657616853714,0.9569377990430622,0.9478672985781991,,
s21,Maintain,0.8151794527115944,0.9815665584415585,0.825,0.009521835857880565,1.5333018553884405
s21,MnM,1.1077147639194966,0.9065143883893881,0.55,0.30205714706578246,1.2326414829645402
s21,Monitor,0.9661578485979954,0.9419191919191915,0.725,0.1605002317442812,0.9905921006814028
s22,Baseline,0.8983406437204239,0.9038461538461539,0.44549763033175355,,
s22,Maintain,0.9737622473139143,0.8082848775156468,0.675,0.07542160359349018,1.4971128395625524
s22,MnM,1.1856554432464208,0.7268156843156846,0.5,0.2873147995259967,1.1666035777644108
s22,Monitor,1.0570357253412233,0.8219536873383029,0.8,0.1586950816207994,0.8325358476394262
s23,Baseline,0.630774220594993,0.985781990521327,0.985781990521327,,
s23,Maintain,0.706072760517172,0.9424421732114039,0.75,0.07529853992217887,1.331553383877403
s23,MnM,0.8841472008368152,0.8771323815073815,0.35,0.2533729802418221,1.0031863570213317
s23,Monitor,0.7472264513438232,0.9738621794871793,0.95,0.11645223074883002,0.7952107965946198
s24,Baseline,0.7368857519967216,0.9086538461538461,0.8957345971563981,,
s24,Maintain,0.890877908682487,0.8639208707958707,0.7,0.1539921566857653,1.5078652041299003
s24,MnM,1.0059293969946848,0.7464770646020644,0.5,0.2690436449979629,1.1209080097002861
s24,Monitor,1.0012777722200104,0.8240684315684316,0.675,0.26439202022328856,0.9647989659696012
s25,Baseline,0.6374553266693564,0.966824644549763,0.966824644549763,,
s25,Maintain,0.7878020508148215,0.888156635031635,0.45,0.15034672414546507,1.40818361554827
s25,MnM,0.9898265467933343,0.8127186204109283,0.225,0.35237122012397804,0.8871881812810898
s25,Monitor,0.883198323173143,0.7902874209124211,0.4,0.24574299650378667,0.8445819584099022
s26,Baseline,0.7117455069054949,0.8952380952380953,0.8909952606635071,,
s26,Maintain,0.7913616012165318,0.9115181826720286,0.825,0.07961609431103697,1.4765905079088713
s26,MnM,1.1003322701976912,0.8125292069042068,0.45,0.3885867632921965,1.0350974889901967
s26,Monitor,0.92190657001269,0.9074952824952822,0.75,0.21016106310719523,0.8912386119365692
s27,Baseline,0.7632725651901547,0.957345971563981,0.957345971563981,,
s27,Maintain,0.815996807293787,0.8627111492496109,0.625,0.05272424210363211,1.4854579993656702
s27,MnM,1.1065174354911407,0.8461331723831723,0.55,0.3432448703009857,1.0978999257087707
s27,Monitor,0.8935947211910044,0.8584138084138082,0.625,0.1303221560008494,0.8123368561267853
s29,Baseline,0.7030669265889866,0.8862559241706162,0.8862559241706162,,
s29,Maintain,0.7799173212913889,0.8093002830502831,0.525,0.07685039470240239,1.139166417874788
s29,MnM,0.9385732071204024,0.8116434260184262,0.4,0.23550628053141573,0.9247440925011268
s29,Monitor,0.8549351720288104,0.8611593961593963,0.725,0.1518682454398239,0.8499398291110992
s30,Baseline,0.6201682904871498,0.9715639810426541,0.9715639810426541,,
s30,Maintain,0.7497648936028523,0.9748511904761905,0.85,0.12959660311570229,1.3267793536186219
s30,MnM,1.0618543955686823,0.9027077783327782,0.825,0.4416861050815328,1.028955441713333
s30,Monitor,0.7634463317411592,0.9529891636141634,0.875,0.14327804125400928,0.8101756870746613
s31,Baseline,0.8894603803529212,0.9707317073170731,0.943127962085308,,
s31,Maintain,1.0322904758601488,0.9346317571317571,0.825,0.1428300955072277,1.2438863057356615
s31,MnM,1.3983458294662645,0.8545342157842161,0.6,0.5088854491133438,1.173560995804636
s31,Monitor,1.1644570380100627,0.9127198495948496,0.825,0.2749966576571413,0.9150267899036407
s32,Baseline,0.9212107124427954,0.9186602870813397,0.909952606635071,,
s32,Maintain,1.0394391716611793,0.9218548812298811,0.7,0.11822845921838361,1.5938711166381836
s32,MnM,1.2859054983619669,0.815056055056055,0.55,0.36469478591917187,1.3024799287319184
s32,Monitor,1.0791615365209428,0.8432775557775558,0.6,0.15795082407814776,1.0059157946170905
s33,Baseline,0.6452972127504998,0.9317073170731708,0.9052132701421801,,
s33,Maintain,0.8847233593430643,0.8875487760103145,0.7,0.23942614659256448,1.4794739130380992
s33,MnM,0.675541550554338,0.602854922854923,0.125,0.030244337803838183,0.750644899183704
s33,Monitor,0.7747660153758043,0.7270350482850485,0.35,0.12946880262530452,0.8600240503038679
s34,Baseline,0.677944667097451,0.981042654028436,0.981042654028436,,
s34,Maintain,0.7779927725933843,0.9654650904650904,0.75,0.10004810549593345,1.402378157206944
s34,MnM,1.1713346361933112,0.8956630175380175,0.775,0.4933899690958603,1.114741176366806
s34,Monitor,0.8667647394868236,0.9389968364968364,0.775,0.18882007238937254,0.8710267186164856
s35,Baseline,0.6335886367643723,0.9428571428571428,0.9383886255924171,,
s35,Maintain,0.6861819045402819,0.942916389166389,0.875,0.052593267775909565,1.3842864487622235
s35,MnM,0.8197812440930203,0.888700466200466,0.5,0.18619260732864798,0.9682323932647705
s35,Monitor,0.7106255154600574,0.9306879231879233,0.9,0.07703687869568508,0.7743820428848267
s36,Baseline,0.7024506448519112,0.957345971563981,0.957345971563981,,
s36,Maintain,0.7736165491748673,0.929038947163947,0.8,0.0711659043229563,1.1744349479675293
s36,MnM,0.9673812484308346,0.8349265318015318,0.425,0.2649306035789235,0.9525459408760071
s36,Monitor,0.8624617763769558,0.9146477827727827,0.775,0.16001113152504454,0.768594479560852
s37,Baseline,0.7279803092663105,0.9512195121951219,0.9241706161137441,,
s37,Maintain,0.7678440021026497,0.9174845987345985,0.625,0.03986369283633909,1.392601403925154
s37,MnM,0.9471625842133228,0.6991065914142839,0.4,0.2191822749470123,0.8488782644271851
s37,Monitor,0.864312956016612,0.8657574370074371,0.725,0.1363326467503015,0.9179121732711792
s38,Baseline,0.558805829534928,0.909952606635071,0.909952606635071,,
s38,Maintain,0.5991906941323424,0.8310081585081587,0.3,0.0403848645974144,1.0402667760848998
s38,MnM,0.972908614635794,0.7978851703851704,0.45,0.414102785100866,0.9848731577396392
s38,Monitor,0.7193950315620166,0.8916395410145412,0.9,0.1605892020270884,0.7609050154685975
s39,Baseline,0.6337251962791562,0.9095238095238095,0.9052132701421801,,
s39,Maintain,0.7028955903122391,0.7977394681342052,0.4,0.06917039403308294,0.9487683082881727
s39,MnM,0.8076646129826508,0.7966502941502943,0.075,0.17393941670349447,0.7782095849514008
s39,Monitor,0.7159174013489961,0.8032933039183039,0.35,0.08219220506983979,0.6597283601760864
s40,Baseline,0.7393416640827957,0.9809523809523809,0.976303317535545,,
s40,Maintain,0.7516373136369505,0.9555842305842307,0.85,0.012295649554154861,1.2305676753704364
s40,MnM,1.1573898047845588,0.9065380452880453,0.675,0.41804814070176316,1.1239684879779817
s40,Monitor,0.8756462146419568,0.9645876345876345,0.875,0.1363045505591613,0.9309866309165955
s41,Baseline,0.6950779554202472,0.9516908212560387,0.933649289099526,,
s41,Maintain,0.7639880947191124,0.9369656038406038,0.9,0.0689101392988655,1.251731059490106
s41,MnM,0.8350334755090367,0.8325028443778445,0.15,0.13995552008878956,0.843574857711792
s41,Monitor,0.8303608160938291,0.8674791181041182,0.725,0.1352828606735818,0.7137662172317505
s42,Baseline,0.6924503451412164,0.9809523809523809,0.976303317535545,,
s42,Maintain,0.7607785455721803,0.9053881535131536,0.625,0.06832820043096398,1.3581165717198298
s42,MnM,1.0780614899091727,0.8968305999555998,0.55,0.3856111447679562,1.1584086894989014
s42,Monitor,0.941279895506774,0.9589366883116884,0.875,0.24882955036555765,0.9475672960281372
s43,Baseline,0.6384837507602558,0.9476190476190476,0.9478672985781991,,
s43,Maintain,0.7413170474506311,0.9296543040293038,0.775,0.10283329669037539,1.30320100295238
s43,MnM,1.1168137878616378,0.9421300921300917,0.725,0.4783300371013822,1.2569352626800536
s43,Monitor,0.8238661573148348,0.9355303724053723,0.875,0.1853824065545789,0.8339703440666199
