subj,block,pm_acc,meanTrial_rt,og_acc,blockType
s01,"('base1', 1)",1.0,0.6967101097106934,1.0,Baseline
s01,"('base1', 1)",1.0,0.956317901611328,1.0,Baseline
s01,"('base1', 1)",1.0,0.4963328838348389,1.0,Baseline
s01,"('base1', 1)",1.0,0.6040689945220947,1.0,Baseline
s01,"('base1', 1)",1.0,0.6562068462371826,1.0,Baseline
s01,"('base1', 1)",1.0,0.6841249465942383,1.0,Baseline
s01,"('base1', 1)",1.0,0.5285928249359131,1.0,Baseline
s01,"('base1', 1)",1.0,0.7409849166870117,1.0,Baseline
s01,"('base1', 1)",1.0,0.4812519550323486,1.0,Baseline
s01,"('base1', 1)",1.0,0.5724790096282959,1.0,Baseline
s01,"('base1', 1)",1.0,0.6247379779815674,1.0,Baseline
s01,"('base1', 1)",1.0,0.5404789447784424,1.0,Baseline
s01,"('base1', 1)",1.0,0.5438070297241211,1.0,Baseline
s01,"('base1', 1)",1.0,0.595858097076416,1.0,Baseline
s01,"('base1', 1)",1.0,0.5435910224914551,1.0,Baseline
s01,"('base1', 1)",1.0,0.5066771507263184,1.0,Baseline
s01,"('base1', 1)",1.0,0.909959077835083,1.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",1.0,0.7428789138793945,1.0,Baseline
s01,"('base1', 1)",1.0,0.7629249095916748,1.0,Baseline
s01,"('base1', 1)",1.0,0.5507481098175049,1.0,Baseline
s01,"('base1', 1)",1.0,0.6426258087158203,1.0,Baseline
s01,"('base1', 1)",1.0,0.8301899433135986,1.0,Baseline
s01,"('base1', 1)",1.0,0.8421590328216553,1.0,Baseline
s01,"('base1', 1)",1.0,1.1666429042816162,1.0,Baseline
s01,"('base1', 1)",1.0,1.4670610427856443,1.0,Baseline
s01,"('base1', 1)",1.0,0.6954519748687744,1.0,Baseline
s01,"('base1', 1)",0.0,,0.0,Baseline
s01,"('base1', 1)",1.0,0.5036499500274658,1.0,Baseline
s01,"('base1', 1)",1.0,0.5718169212341309,1.0,Baseline
s01,"('base1', 1)",1.0,1.007130146026611,1.0,Baseline
s01,"('base1', 1)",1.0,0.8115479946136475,1.0,Baseline
s01,"('base1', 1)",1.0,0.7918820381164551,1.0,Baseline
s01,"('base1', 1)",1.0,0.604132890701294,1.0,Baseline
s01,"('base1', 1)",1.0,0.5438768863677979,1.0,Baseline
s01,"('base1', 1)",1.0,0.9071929454803468,1.0,Baseline
s01,"('base1', 1)",1.0,0.8476541042327881,1.0,Baseline
s01,"('base1', 1)",1.0,0.683905839920044,1.0,Baseline
s01,"('base1', 1)",1.0,0.6641108989715576,1.0,Baseline
s01,"('base1', 1)",1.0,0.5159180164337158,1.0,Baseline
s01,"('base1', 1)",1.0,0.7191789150238037,1.0,Baseline
s01,"('base1', 1)",1.0,0.5556459426879883,1.0,Baseline
s01,"('base1', 1)",1.0,0.903757095336914,1.0,Baseline
s01,"('base1', 1)",1.0,0.6037769317626953,1.0,Baseline
s01,"('base1', 1)",1.0,0.3679721355438232,1.0,Baseline
s01,"('base1', 1)",1.0,0.5559620857238771,1.0,Baseline
s01,"('base1', 1)",1.0,0.5443561077117921,1.0,Baseline
s01,"('base1', 1)",1.0,0.6440269947052002,1.0,Baseline
