"","mon_mnm1","mon_mnm2","mon_mnm3","mon_mnm4"
"237",-11.0264257216369,-12.8728494400574,-8.55984521523355,-8.64403395034735
"238",-6.53587537636142,-6.31270063048154,-7.46660062046305,-2.61989064692213
"239",-19.9867234649208,-21.895537432787,-14.3825066929502,-10.1043773009937
"240",-35.2749067164345,-37.0647086730326,-25.8188126820932,-22.6068758890674
"241",-16.8683337730629,-17.7988510336399,-12.0066858978366,-13.179942329413
"242",-29.5624803985593,-26.7893026043319,-17.7169861731748,-19.4135167432235
"243",-12.0938193496515,-13.1063504960932,-11.4560263392593,-11.9699916051414
"244",-20.976961168658,-22.7558941340086,-24.7473971207477,-23.7916139073694
"245",-2.74240913077168,-3.93532541337969,-4.46588509658104,-6.06991814835208
"246",-12.8559608125889,-12.913066668712,-14.7608436972987,-13.6633643027508
"247",-24.5888231877074,-25.9419903527245,-27.9101481510075,-18.5904231341256
"248",1.85688667503053,2.07368713259872,4.28267643602552,2.30714612294471
"249",-24.0858425730904,-21.1276232714253,-23.1230672599439,-18.6890145755692
"250",-25.422587907179,-27.1688268604884,-28.5544940006386,-25.1587374225865
"251",-13.5455593257724,-10.9708043858455,-12.9087220147783,-14.8887924095506
"252",-11.5411659815786,-11.5684124926812,-13.2955037161858,-14.4601655785984
"253",-8.22811627044156,-10.1111548324578,-12.0631175009703,-10.7932326133002
"254",-19.0480494794179,-19.7926043615814,-20.1992444906651,-17.6694174908042
"255",-29.1020242940797,-30.7787702676548,-26.9260166446016,-19.7969048193746
"256",-5.10160645679192,-5.62105893171817,-5.03690078107383,-6.98743236419481
"257",-7.75891871628938,-6.32753391375345,-4.63121285360185,-6.50423786348531
"258",-10.2146205484523,-11.1400871723876,-10.736698243423,-11.1925547380822
"259",-22.2438205252787,-18.0860453839572,-19.7515413565011,-21.7402611189219
"260",-22.1596776727468,-21.2136115312491,-11.3611554610875,-13.1008451697406
"261",-8.51771774874302,-8.27979846853335,-9.90055275087233,-11.8793838334585
"262",-15.4861858037203,-15.3694681443487,-11.4232658741388,-12.0138315943111
"263",-7.79774958852266,-9.72971100606626,-10.0078859784318,-7.68704829124345
"264",-16.9313076947291,-18.6591321045517,-12.0590084034428,-7.1545554046534
"265",-24.7330537239234,-21.816112803536,-21.4405669956874,-13.7957635527594
"266",-6.48196476773768,-7.71468961007467,-9.51051300330376,-10.9871536643748
"267",-20.3472994228245,-22.3442401881121,-15.2856188067786,-7.97612933493655
"268",-18.0075619620644,-19.0247168040607,-9.5021292516298,-8.119338347389
"269",-11.407273290544,-12.2735980103375,-14.2716657608692,-15.4782401743266
"270",-21.4662782255781,-23.3536184793147,-17.9445911293972,-19.0008169762744
"271",-15.2349939207066,-14.3122253110267,-13.7243743000198,-14.9763816242082
