"","cost_mnm_interact","cost_mnm_noInteract","main_mnm","mon_mnm","one_mnm"
"375",-17.3631466465461,-17.6475165334171,-14.9840940986507,-11.3239133179475,-12.6818123476635
"376",-9.55027904791899,-11.5463265778219,-10.5755851909017,-13.5115502447431,-10.8605143729837
"377",-21.6205252136871,-21.6143216001587,-22.1358858436504,-9.7131212535148,-11.6140899145083
"378",-12.1849643794199,-12.5837325643349,-12.9942387003347,-14.1627853695045,-14.8797136700693
"379",-4.79277524092458,-6.51097136572923,-3.42668986943796,-1.93668678739575,-2.38739487965415
"380",-12.786335253171,-14.6516229489937,-9.62906802626925,-14.4953060887509,-11.1850127050232
"381",-30.2379587462964,-27.2589764863584,-29.2417605135711,-28.6611069419209,-30.5329109727677
"382",-12.5623218543399,-10.7861917554253,-12.4697278267994,-11.2792614260106,-13.2393655003542
"383",-8.56795968911018,-9.44597320906225,-6.80882027318813,-4.35336983255347,-4.82553097868401
"384",-10.6049663943548,-11.5145244502802,-12.4235718105129,-13.5132002373903,-13.9390753002754
"385",-1.98659122519006,2.1346243877746,0.240773903503112,0.294478971967523,-1.4299329608658
"386",-16.9244036153397,-18.3484299009078,-15.0886004682012,-18.8865953870319,-16.9896019078173
"387",-12.5397835834483,-14.2602767006189,-11.5431886829924,-14.338226446609,-13.5417737036268
"388",-18.0638470781317,-19.0165711807243,-17.8271123180532,-20.1483479331632,-19.7727215155882
"389",-30.0818693471425,-32.0237819089978,-30.6013733938519,-21.9255648625149,-23.7926395355668
"390",-10.5912727597527,-10.1124415804278,-9.20095324670658,-8.36880201532353,-9.5847085727141
"391",-13.2590802271071,-14.6227482602733,-13.4105103143633,-13.8213592864555,-14.0634695798661
"392",-16.9212780303958,-13.7139212254307,-6.09727697750807,-6.37914002106154,-5.90980192110012
"393",-11.0897732785486,-9.57986972678293,-8.34066743232164,-7.43643147485933,-9.31291153016697
"394",-0.381825862969828,-0.789293298644445,-2.00153619471773,-2.51832911792614,-3.98879985702754
"395",-8.31605778155053,-9.47196853222347,-7.85997333906258,-10.0521768805668,-9.85393894418736
"396",-1.3149523796595,-2.09925518242227,0.482915998831505,-2.00767298085944,-1.50847590629931
"397",-12.746771526451,-8.61272798363814,-10.3639930207096,-10.4356402449729,-11.9354141693185
"398",-19.8006683193072,-20.8415155304036,-21.8298651080304,-22.7067147788188,-23.6748601502564
"399",-0.38199205594999,-2.31485534582697,6.98138006589337,5.23773425750727,7.45811103498758
"400",-9.75274554316179,-9.18044526317586,-11.166600450696,-10.5492467290188,-12.3942012637787
"401",-16.0247409908396,-17.4572692391702,-11.9688214805655,-10.4315078200007,-10.3172041176933
"402",-17.0756720746043,-18.7287254792873,-14.4992973495512,-13.5356226342986,-11.608755788173
"403",-5.40455398151311,-7.12141880749977,-7.33655445327845,-8.95324145190044,-9.09160397053068
"404",-5.78999276255161,-7.15274331119373,-7.49964403459051,-7.0018398208585,-7.96427589574104
"405",-5.01909834551842,-6.99699883381882,-7.51813833731277,-7.0438980857788,-8.38472053045808
"406",-10.3540548542612,-11.6375908123725,-12.7462550332981,-12.9063527632924,-11.2861913935712
"407",-10.9122469165948,-12.6758220602213,-13.0735494567317,-14.5672094839475,-14.7569356498061
"408",-8.18485776116441,-10.1680167367509,-9.3755851308295,-12.1608932659382,-10.9969113694379
"409",-28.0127296160713,-29.1332250204045,-29.3392326635102,-18.5954130765028,-20.5120719699842
"410",-30.0933347190087,-31.7766017794987,-22.7967668815698,-27.0594937558416,-24.0116851673876
"411",-0.774935259527352,-2.15230708533447,-0.114352702616389,-1.79488764459572,-1.85117875128057
"412",-7.16712156897377,-6.76326573239878,-4.91422496483913,1.18873532940223,-0.0269330847510236
"413",-12.8703994733709,-12.1261381363376,-14.0581078570276,-14.1216087709033,-15.9676699817615
"414",-22.7250916126288,-24.4913847949849,-25.3795709291385,-24.8370966866551,-26.7622484415584
"415",-10.1015386257405,-10.8778123610822,-12.0409805728562,-12.4131131060843,-14.038398814831
"416",-6.26850409781986,-5.24974417270618,-6.1354477829179,-3.89065130063723,-5.82964678792415
"417",-17.6564845208642,-18.5868424227112,-20.0655305025064,-16.0234013739997,-17.997568239922
"418",-21.5118231947626,-19.8774463021367,-17.5706124719955,-15.3671977199783,-16.8776759899762
"419",-9.22294875052992,-8.11740485347641,-7.51166803572649,-5.80914640116797,-6.79794264933962
"420",-2.86691306826618,-4.86396507127113,-0.0538772758280981,-4.30412209101852,-2.04321657309005
"421",-22.8126007752194,-24.5804630377914,-24.9157169523223,-26.4963825288408,-25.1523755729824
"422",-22.8034240337789,-24.1304346087759,-22.2455380073909,-24.1475612141461,-24.2236146852637
"423",-16.7389155629987,-18.4491998886095,-19.1693183040163,-15.3989459099626,-17.3456250873112
"424",-4.72211841553996,-3.81011862088173,-4.22044875515752,-2.15152995358139,-3.92304810816298
"425",-15.2216677790649,-13.4624524772241,-13.576213302642,-13.449030715079,-15.0492396228239
"426",-9.26088697627945,-11.2185304717632,-7.91854704683204,-11.9368304337381,-9.91092195467841
"427",0.258462126982621,-1.74078097810252,-0.37477044622967,-3.70330417724691,-1.71686642548512
"428",-6.20656255820581,-2.4431320810466,0.422269110603009,0.337988108445257,1.54802745662695
"429",-16.5750711649653,-18.4819599406019,-18.66323419432,-20.1493371243018,-18.3858575234195
"430",-16.5991487882304,-18.5976680767344,-12.5990761871177,-20.0853171759364,-12.3709066909768
"431",-4.18047101917298,-2.75056758943391,-4.6327283048522,-4.53135788529775,-6.10854587610456
"432",-14.851542189555,-15.4068498836664,-12.448798454837,-15.2629358528127,-13.9673136051256
"433",-16.8695637493914,-18.8528840780639,-15.6117742963199,-18.3604651890954,-17.2965757330315
"434",-26.6400468691387,-27.6135998594997,-23.5497230782366,-25.6857745539622,-25.2957565006428
"435",-2.54998246160643,0.701839736741791,0.302884031207926,-1.29460321892936,-1.30825089510419
"436",-23.1990342684229,-23.2159313120752,-21.915856070196,-22.0353721877626,-22.6706953396416
"437",-13.5336740047289,-12.524091831222,-12.2769172368895,-11.5004706727548,-12.673209335624
"438",-39.7949452887514,-41.0387514027444,-37.3145821028527,-39.778003072561,-39.1160219649193
"439",-14.8772627554331,-16.2454043816708,-13.6850668582365,-7.8279993159736,-7.53291926725778
"440",-9.21022582938108,-10.9009911798083,-7.6194445660181,-10.82681367133,-9.38790935250371
"441",-11.916106974879,-13.5087149905857,-9.64024432397654,-8.51604732944774,-7.62131709155632
"442",-12.5155342779554,-12.9028256699164,-11.4744921734013,-13.5343292274452,-13.4715436089837
"443",-7.98835918708486,-9.98437741351113,-8.83981331300328,-11.7693847342483,-10.6500661497432
"444",-11.2472440688374,-11.6442505675522,-12.4770995271138,-11.7199954434671,-13.5713382274808
"445",-14.1767400694884,-16.1291208470943,-6.4729142444971,-12.46930064195,-8.32137831547318
"446",-12.7539224808343,-14.3685466247403,-16.0156739127909,-14.9232116297262,-14.5337477950463
"447",-16.9123006415309,-17.20201352622,-8.9614479508888,-12.5858794307576,-10.3659635158397
"448",-20.7500416415722,-22.4022795723191,-20.0295297176969,-18.2526032412529,-19.2598740901561
"449",-18.3068414047059,-20.0617679307905,-21.5737479914083,-21.9700579934313,-22.3080501537324
"450",-41.9304659309383,-43.8913546369295,-45.657154643465,-36.7051138192287,-37.3325932903727
"451",-32.7411150057386,-28.9327799890525,-9.79923662704689,-30.0200670617687,-10.1139271330637
"452",-17.1388478642261,-19.0268265833509,-17.5116372052395,-20.8327043708543,-19.4808591741852
"453",-3.07667823124084,-4.60726972496473,0.305359557236695,-6.49675541992726,-1.46085616198359
"454",-18.3743446701292,-19.770902088681,-18.7783583321064,-20.2058405305313,-20.6780929060377
"455",-10.4627172908322,-11.7725600873693,-10.8358496240551,-12.8881769085881,-12.8244157364029
"456",-14.0847456822012,-15.5395789416885,-10.9930390934588,-10.4393461507674,-11.2159438612104
"457",-22.621585008048,-22.0679111666465,-23.9222645426261,-23.9551341861621,-25.1216405416223
"458",-27.1787328196109,-25.7201275895318,-14.381466051726,-11.9972677883954,-11.4642367805922
"459",-27.2537189837564,-27.4790329142963,-22.1269135238311,-24.7976292731865,-23.8788840268377
"460",-11.5551509447338,-12.5298011265059,-10.3736134297476,-10.0487647471824,-10.6910263100881
"461",-16.1069574939664,-18.1037994880741,-11.9108288535056,-16.6096652222126,-12.9147786619104
"462",-9.76237978712242,-11.3438028134628,-9.2391786135145,-7.68063178876018,-7.43507541462749
"463",-20.7273929155349,-22.06830776184,-14.2472545701376,-9.66229414201009,-9.00141223752258
"464",-23.7618271116036,-25.6871170914026,-20.3196841162631,-20.2022025406538,-18.6256717392484
"465",-6.5458876765174,-6.26138109444235,-5.41664958605263,-4.55272580697736,-5.69486300688282
"466",-8.11668476699372,-8.68458551310275,-6.63982214843317,-7.34271481923389,-8.11304061302495
"467",-28.0200316577099,-26.1169722844233,-24.9352275353861,-28.1026817829286,-25.8538505771911
"468",-39.6988358394778,-40.8209034640869,-29.8315075071708,-23.087781483999,-22.2981596726694
"469",-15.0925986864225,-16.6785647150558,-15.4008026333151,-18.3426165416934,-17.0261089381502
"470",-16.5401346755917,-16.6205554697304,-15.2201413166692,-13.3826945352657,-14.5173847752533
"471",-15.321165537545,-12.2732355942542,-11.6293078312129,-2.42510672799505,-2.63213164540083
