subj,blockType,meanTrial_rt,og_acc,pm_acc,pm_cost
s09,Baseline,0.630366929538587,0.9317073170731708,0.9052132701421801,
s09,Maintain,0.7336170823358017,0.9493693806193806,0.875,0.10325015279721468
s09,MnM,0.9369763552798509,0.8165078671328674,0.325,0.30660942574126404
s09,Monitor,0.7732194474527923,0.8648858086358084,0.65,0.14285251791420533
s10,Baseline,0.7520355383555094,0.909952606635071,0.909952606635071,
s10,Maintain,0.9263291254157474,0.8957253163503166,0.85,0.17429358706023812
s10,MnM,0.9188980755458358,0.7962247474747475,0.475,0.1668625371903264
s10,Monitor,0.8570738690244625,0.8525794344544344,0.65,0.10503833066895292
s11,Baseline,0.7698914014376127,0.9330143540669856,0.9241706161137441,
s11,Maintain,0.8443211847048996,0.9501934176934176,0.95,0.07442978326728687
s11,MnM,1.0465609294947507,0.8222993672993673,0.725,0.27666952805713796
s11,Monitor,0.9141134200349598,0.9345004995004995,0.875,0.1442220185973467
s12,Baseline,0.766786040171333,0.8894230769230769,0.8761904761904762,
s12,Maintain,0.9081009121384357,0.8515899378399379,0.0,0.1453441430612375
s12,MnM,0.8156201437685573,0.6570916263223955,0.0,0.05286337469135954
s12,Monitor,0.9602527305576528,0.6836353230103231,0.0,0.19749596148045517
s13,Baseline,0.7118804738073066,0.957345971563981,0.957345971563981,
s13,Maintain,0.8466851560101939,0.8539491064491067,0.575,0.1348046822028874
s13,MnM,1.047758495647951,0.8216523754023755,0.525,0.3358780218406444
s13,Monitor,0.9126474694806275,0.934955808080808,0.875,0.20076699567332074
s14,Baseline,0.5590448115938272,0.943127962085308,0.943127962085308,
s14,Maintain,0.6526545021504863,0.9322637778887779,0.85,0.09360969055665895
s14,MnM,0.8529224840924351,0.8903583916083916,0.675,0.29387767249860786
s14,Monitor,0.7201912323796971,0.9084046509046508,0.75,0.1611464207858697
s15,Baseline,0.6804689215224924,0.976303317535545,0.976303317535545,
s15,Maintain,0.7287409548884515,0.9073224073224074,0.275,0.04827203336595922
