subj,block,pm_acc,meanTrial_rt,og_acc,blockType
s01,"('base1', 1)",1.0,0.6726782321929932,1.0,Baseline
s01,"('base1', 1)",1.0,0.6184630393981934,1.0,Baseline
s01,"('base1', 1)",1.0,0.5334358215332031,1.0,Baseline
s01,"('base1', 1)",1.0,0.4968929290771485,1.0,Baseline
s01,"('base1', 1)",1.0,0.6835691928863525,1.0,Baseline
s01,"('base1', 1)",1.0,0.54988694190979,1.0,Baseline
s01,"('base1', 1)",1.0,0.6876459121704102,1.0,Baseline
s01,"('base1', 1)",1.0,0.6196541786193848,1.0,Baseline
s01,"('base1', 1)",1.0,0.5243740081787109,1.0,Baseline
s01,"('base1', 1)",1.0,0.5654609203338623,1.0,Baseline
s01,"('base1', 1)",1.0,0.7846651077270508,1.0,Baseline
s01,"('base1', 1)",1.0,0.6051161289215088,1.0,Baseline
s01,"('base1', 1)",1.0,0.8254070281982422,1.0,Baseline
s01,"('base1', 1)",1.0,1.0772011280059814,1.0,Baseline
s01,"('base1', 1)",1.0,0.6816630363464355,1.0,Baseline
s01,"('base1', 1)",1.0,0.6271028518676758,1.0,Baseline
s01,"('base1', 1)",1.0,0.5268790721893309,1.0,Baseline
s01,"('base1', 1)",1.0,0.8021929264068604,1.0,Baseline
s01,"('base1', 1)",1.0,0.6703200340270996,1.0,Baseline
s01,"('base2', 8)",1.0,0.5429599285125732,1.0,Baseline
s01,"('base2', 8)",1.0,0.6178610324859619,1.0,Baseline
s01,"('base2', 8)",1.0,0.7404589653015137,1.0,Baseline
s01,"('base2', 8)",1.0,0.8479611873626709,1.0,Baseline
s01,"('base2', 8)",1.0,0.6757519245147705,1.0,Baseline
s01,"('base2', 8)",1.0,0.583942174911499,1.0,Baseline
s01,"('base2', 8)",0.0,,0.0,Baseline
s01,"('base2', 8)",1.0,0.5369150638580322,1.0,Baseline
s01,"('base2', 8)",1.0,0.7170379161834717,1.0,Baseline
s01,"('base2', 8)",1.0,0.584691047668457,1.0,Baseline
s01,"('base2', 8)",0.0,,0.0,Baseline
s01,"('base2', 8)",1.0,0.5513091087341309,1.0,Baseline
s01,"('base2', 8)",1.0,0.6102721691131592,1.0,Baseline
s01,"('base2', 8)",1.0,0.5417211055755615,1.0,Baseline
s01,"('base2', 8)",1.0,0.5833110809326172,1.0,Baseline
s01,"('base2', 8)",1.0,0.6170380115509033,1.0,Baseline
s01,"('base2', 8)",0.0,,0.0,Baseline
s01,"('base2', 8)",1.0,0.8729820251464844,1.0,Baseline
s01,"('base2', 8)",1.0,0.6528089046478271,1.0,Baseline
s01,"('base2', 8)",1.0,0.848628044128418,1.0,Baseline
s01,"('base2', 8)",1.0,0.6845178604125977,1.0,Baseline
s01,"('base2', 8)",0.0,,0.0,Baseline
s01,"('base2', 8)",1.0,0.6599071025848389,1.0,Baseline
s01,"('base2', 8)",1.0,0.7674820423126221,1.0,Baseline
s01,"('base2', 8)",1.0,0.9475059509277344,1.0,Baseline
