"","main_mnm1","main_mnm2","main_mnm"
"34",-20.8077665131163,-21.8041720952384,-6.27812220205111
"35",-28.6502860048229,-28.3602615772655,-29.6745402721547
"36",-8.11030318414745,-9.12380201304254,-7.34625365444895
"37",-29.9560025567659,-31.7664232790559,-30.9349918265417
"38",-28.7642650887199,-25.9340924041697,-27.5497937561972
"39",-27.1286624379056,-28.5817085646705,-30.2429597350186
"40",-8.4462642090303,-10.4337710069705,-8.24149463678728
"41",-24.4668998844632,-26.387278216377,-22.9150000247243
"42",-10.994901276827,-9.03684576438842,-11.01353467973
"43",-5.8172392387161,-4.78110933587137,-5.80479997374154
"44",-24.0661200275955,-25.2458298823823,-24.8419966777191
"45",-19.0872183621044,-21.0674587507295,-19.4658569346853
"46",-11.6794257664702,-13.1542315965752,-13.8848423478908
"47",-22.4203684471242,-20.6719163959536,-22.57102345049
"48",-10.4899124963991,-11.776908020075,-13.0771150534601
"49",-2.81292310831703,-3.99405534884071,-3.93933831287414
"50",-27.6286420533986,-27.6399468752123,-18.45576206332
"51",-11.3706908965488,-13.310888334656,-5.87284145295709
"52",-27.5011200925551,-29.2924438094395,-16.1945622592621
"53",-14.5485315640385,-15.548079882219,-11.4846282087499
"54",-6.17298998882011,-7.95042077718359,-5.93597620672046
"55",-25.8766311757014,-24.6212269049825,-26.5675482028238
"56",-19.9142790160228,-20.6075427530887,-16.6582735097734
"57",-24.0071371341647,-24.9952417630001,-12.8099081859413
"58",-8.80968263484049,-8.42601309369287,-9.16299084950932
"59",-15.9153866101617,-17.8991297103469,-11.7046960644228
"60",-15.0872480587978,-16.6901770535035,-13.6987674702933
"61",-21.4826151067623,-23.2529473461386,-23.9522820914645
"62",-7.59184191791695,-9.11392646435785,-1.24958352764881
"63",-27.6365072485252,-29.0214781016446,-29.6266670759348
"64",-22.1305800148276,-18.5450256345881,-10.3812590575644
"65",-17.5552768207872,-17.9542139795288,-16.3489376954864
"66",-10.040553872948,-11.9323552873422,-9.39753744877033
"67",6.87228381478894,5.76573859917835,7.57151356770158
"68",-1.82062143296656,-3.23463745714401,1.01473156363164
"69",-16.1739739942512,-17.1706502259828,-18.8585862928326
"70",-20.4635121871119,-22.2728992462956,-19.6651265331908
"71",-4.77074326162265,-5.14829447656636,-4.82098981719061
"72",-15.5106706089562,-17.4286057736432,-10.4837057188729
"73",-18.609332928036,-20.5935659438444,-17.0057854523343
"74",-9.92556550878469,-11.3742732574957,-8.15562340855752
"75",-22.8836661680776,-24.1754995509161,-26.1501722656449
"76",-5.14058097353956,-5.5220204787194,-7.06313997621494
"77",-16.8636831405503,-18.3705799305092,-19.8244060824535
"78",-20.412946168853,-20.591780691468,-9.90599305168951
"79",-15.4002168554942,-14.638970825226,-11.206985075286
"80",-14.2981475105038,-14.5031031351986,-10.3632067445305
"81",-11.4456518174152,-12.5856506443924,-12.2464454482333
"82",-15.5524702666178,-17.547958746286,-12.3906268027454
"83",-18.7916436534898,-17.9707002528244,-13.5168539480276
"84",-34.0150960584568,-33.3692083910595,-31.808021480674
"85",-6.19566360858836,-7.90325468454768,-2.22059648709971
"86",-17.3822989872816,-19.0651369135837,-15.5790272719668
"87",-17.6251495956402,-8.00476464561582,-9.21068914262035
"88",-31.7081627547131,-33.6473663605368,-35.2574891553048
"89",-24.2738625076267,-24.7576609284395,-23.6778586719572
"90",-6.96235766369137,-8.9407879979664,-7.61257444376045
"91",-30.299457447426,-32.2472002033142,-14.9723750989948
"92",-36.7578190931548,-36.8928373775414,-23.9916996681831
"93",-0.860954422247321,-2.40663908417466,1.53343289650513
"94",-20.2970239698208,-22.1715922077974,-14.6754907570787
"95",-18.3694309477517,-16.9821372581405,-14.747153059509
"96",-33.6023150298279,-32.9373929396466,-30.6467079292635
"97",-16.0665485053702,-16.4379932258783,-11.7103943849544
"98",-4.29844426187895,-5.74532576407461,-3.81464742081705
"99",-19.9589303849516,-21.9068466808672,-20.2150933984652
"100",-10.6831998521386,-12.6812153390308,-1.5267356941434
"101",-23.408432175131,-25.1361163793197,-23.1719466243218
"102",-7.16945096921666,-8.92312483862108,-8.87814720740597
"103",-25.3869960699793,-27.3797007168572,-24.1775383374143
"104",-19.8364001215182,-21.4188896986838,-20.763456789034
"105",-6.34053677962896,-8.02004631483739,-8.49404765310994
"106",-18.9864313184329,-20.8976111544642,-12.8156668557766
"107",-21.6060496245999,-23.2830237512233,-15.9560457710943
"108",-5.91479482855408,-7.65391643801025,-5.55990337010384
"109",-12.239671571024,-10.6186952562521,-12.1368630468273
"110",-20.307139818979,-19.1595080127215,-20.7081171519726
"111",-3.58917541705625,-3.20594968030216,-4.89909979962848
"112",-27.6678851760138,-29.4389127713977,-12.0993555710736
"113",-26.1003980718671,-27.8768186395231,-26.7665823703158
"114",-6.61521775038637,-8.44618964605756,-2.45663177585008
